,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
's',0.2,0.2799999999999961,0.27999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,4.269999999986838,0.3099999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.27999999999999997,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'r',0.0,0.0,0.2899999999999999,4.219999999991375,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.2799999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'w',0.27999999999999986,4.199999999991461,0.27999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999997,0.15000000000000002,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'l',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.27999999999999997,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,4.159999999986324,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.27999999999999975,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'ö',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.27999999999999997,0.27999999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.289999999986421,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2799999999999999,0.27999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'o',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999975,4.259999999991449,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.2,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'h',0.0,0.0,0.0,0.0,0.2799999999999999,0.2799999999999999,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,4.289999999986374,0.27999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.27999999999999997,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'f',0.0,0.0,0.2,0.15000000000000002,0.3199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32999999999999985,4.009999999986287,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2899999999999998,0.15000000000000002,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'q',4.289999999994739,0.27999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.27999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'e',0.0,0.2799999999999999,4.28999999999136,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.15000000000000002,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
